IPO Name,Status,Price,GMP(₹),Est Listing, ,IPO Size,Lot Size,Open Date,Close Date,BoA Dt,Listing,GMP Updated
Arisinfra Solutions IPO,Upcoming,NA,101,--,,2.86 Cr Shares,TBD,,,,,21-Jan 12:55
Denta Water IPO,Upcoming,294,165,459 (56.12%),,₹220.50 Cr,50,22-Jan,24-Jan,27-Jan,29-Jan,21-Jan 12:59
Stallion India IPO,Close (Sub:188.32x),90,48,138 (53.33%),,₹199.45 Cr,165,16-Jan,20-Jan,21-Jan,23-Jan,21-Jan 12:53
Laxmi Dental IPO,[email protected] (26.64%) (Sub:114.14x),428,145,573 (33.88%),,₹698.06 Cr,33,13-Jan,15-Jan,16-Jan,20-Jan,20-Jan 8:26
Capital Infra Trust Invit IPO,[email protected] (-1.00%),100,--,100 (0.00%),,₹1578.00 Cr,150,7-Jan,9-Jan,14-Jan,17-Jan,17-Jan 8:25
Quadrant Future Tek IPO,[email protected] (27.59%) (Sub:195.96x),290,120,410 (41.38%),,₹290.00 Cr,50,7-Jan,9-Jan,10-Jan,14-Jan,14-Jan 8:32
Standard Glass Lining IPO,[email protected] (22.86%) (Sub:185.48x),140,50,190 (35.71%),,₹410.05 Cr,107,6-Jan,8-Jan,9-Jan,13-Jan,13-Jan 8:30
Indo Farm Equipment IPO,[email protected] (19.07%) (Sub:227.67x),215,76,291 (35.35%),,₹260.15 Cr,69,31-Dec,2-Jan,3-Jan,7-Jan,7-Jan 8:27
Unimech Aerospace IPO,L@1460 (85.99%) (Sub:184.34x),785,625,1410 (79.62%),,₹500.00 Cr,19,23-Dec,26-Dec,27-Dec,31-Dec,31-Dec 8:31
Carraro India IPO,[email protected] (-7.53%) (Sub:1.18x),704,--,704 (0.00%),,₹1250.00 Cr,21,20-Dec,24-Dec,26-Dec,30-Dec,30-Dec 8:25
Senores Pharmaceuticals IPO,[email protected] (53.45%) (Sub:97.86x),391,284,675 (72.63%),,₹582.11 Cr,38,20-Dec,24-Dec,26-Dec,30-Dec,30-Dec 8:25
Ventive Hospitality IPO,[email protected] (11.35%) (Sub:10.33x),643,80,723 (12.44%),,₹1600.00 Cr,23,20-Dec,24-Dec,26-Dec,30-Dec,30-Dec 8:24
Concord Enviro Systems IPO,[email protected] (17.83%) (Sub:10.67x),701,138,839 (19.69%),,₹500.33 Cr,21,19-Dec,23-Dec,24-Dec,27-Dec,27-Dec 8:30
Mamata Machinery IPO,[email protected] (146.91%) (Sub:194.95x),243,260,503 (107.00%),,₹179.39 Cr,61,19-Dec,23-Dec,24-Dec,27-Dec,27-Dec 8:26
DAM Capital Advisors IPO,[email protected] (38.87%) (Sub:81.88x),283,143,426 (50.53%),,₹840.25 Cr,53,19-Dec,23-Dec,24-Dec,27-Dec,27-Dec 8:27
Sanathan Textiles IPO,[email protected] (31.56%) (Sub:36.9x),321,87,408 (27.10%),,₹550.00 Cr,46,19-Dec,23-Dec,24-Dec,27-Dec,27-Dec 8:26
Transrail Lighting IPO,[email protected] (36.57%) (Sub:81.98x),432,165,597 (38.19%),,₹838.91 Cr,34,19-Dec,23-Dec,24-Dec,27-Dec,27-Dec 8:27
International Gemmological Institute IPO,[email protected] (21.07%) (Sub:35.48x),417,159,576 (38.13%),,₹4225.00 Cr,35,13-Dec,17-Dec,18-Dec,20-Dec,20-Dec 8:24
Inventurus Knowledge Solutions IPO,[email protected] (39.65%) (Sub:52.68x),1329,421,1750 (31.68%),,₹2497.92 Cr,11,12-Dec,16-Dec,17-Dec,19-Dec,19-Dec 8:56
Vishal Mega Mart IPO,[email protected] (33.33%) (Sub:28.75x),78,22,100 (28.21%),,₹8000.00 Cr,190,11-Dec,13-Dec,16-Dec,18-Dec,18-Dec 8:26
Sai Life Sciences IPO,[email protected] (18.40%) (Sub:10.27x),549,72,621 (13.11%),,₹3042.62 Cr,27,11-Dec,13-Dec,16-Dec,18-Dec,18-Dec 8:25
Mobikwik IPO,[email protected] (57.71%) (Sub:125.69x),279,160,439 (57.35%),,₹572.00 Cr,53,11-Dec,13-Dec,16-Dec,18-Dec,18-Dec 8:30
Property Share InvIT IPO,[email protected] (0.00%) (Sub:0.03x),1050000,--,--,,₹352.91 Cr,1,2-Dec,4-Dec,5-Dec,10-Dec,10-Dec 5:03
